Outcome,Message,Identity,Delay,Symbol,StartDate,StartTime,EndDate,EndTime,Open,High,Low,Close,Average,Volume
Success,,,0,XAUUSD,12/01/2015,11:25:00 AM,12/01/2015,11:30:00 AM,1069.7,1070.13,1069.31,1069.75,1069.773,30
Success,,,0,XAUUSD,12/01/2015,11:30:00 AM,12/01/2015,11:35:00 AM,1069.75,1069.83,1069.16,1069.5,1069.616,31
Success,,,0,XAUUSD,12/01/2015,11:35:00 AM,12/01/2015,11:40:00 AM,1069.5,1069.83,1068.8,1068.8,1069.444,29
Success,,,0,XAUUSD,12/01/2015,11:40:00 AM,12/01/2015,11:45:00 AM,1069.23,1069.23,1068.48,1068.9,1068.912,43
Success,,,0,XAUUSD,12/01/2015,11:45:00 AM,12/01/2015,11:50:00 AM,1069.23,1069.43,1068.74,1069.23,1069.153,37
Success,,,0,XAUUSD,12/01/2015,11:50:00 AM,12/01/2015,11:55:00 AM,1069.2,1069.33,1068.58,1069,1069.017,21
Success,,,0,XAUUSD,12/01/2015,11:55:00 AM,12/01/2015,12:00:00 PM,1069.13,1069.63,1068.51,1069.45,1069.083,35
Success,,,0,XAUUSD,12/01/2015,12:00:00 PM,12/01/2015,12:05:00 PM,1069.4,1070.1,1068.92,1069.25,1069.439,33
Success,,,0,XAUUSD,12/01/2015,12:05:00 PM,12/01/2015,12:10:00 PM,1069.53,1069.63,1068.88,1069.41,1069.282,29
Success,,,0,XAUUSD,12/01/2015,12:10:00 PM,12/01/2015,12:15:00 PM,1069.41,1069.58,1068.89,1069.25,1069.27,29
Success,,,0,XAUUSD,12/01/2015,12:15:00 PM,12/01/2015,12:20:00 PM,1069.2,1069.53,1068.87,1069.22,1069.24,17
Success,,,0,XAUUSD,12/01/2015,12:20:00 PM,12/01/2015,12:25:00 PM,1069.38,1069.53,1068.85,1069.34,1069.22,32
Success,,,0,XAUUSD,12/01/2015,12:25:00 PM,12/01/2015,12:30:00 PM,1069.1,1069.33,1067.42,1067.77,1068.551,40
